URL;Название;Полное название;Описание;Текст песни;Количество файлов;Файлы аудио;Файлы минусовок;Видео;Категории
https://xn----9sbmabsiicuddu3a5lep.xn--p1ai/media/cvetnye-sny-iz-k-f-meri-poppins-do-svidan-ya;"Цветные сны (из к/ф ""Мэри Поппинс, до свиданья"")";"Цветные сны (из к/ф ""Мэри Поппинс, до свиданья"") - Татьяна Воронина - Колыбельные-песни.рф";"Цветные сны (из к/ф ""Мэри Поппинс, до свиданья""), Женский голос, Советские колыбельные, Из фильмов";"Всё, что было много лет назад, 
Сны цветные бережно хранят, 
И порой тех снов волшебный хоровод 
Взрослых в детство за руку ведёт. 

Сны, где сказка живёт среди чудес, 
Сны, где можно достать 
Звезду с небес, с небес, 
Счастлив тот, счастлив тот, 
В ком детство есть. 

Детство наше давно прошло, 
Прошлой жизни букварь прочло, 
Лето, осень, зима и нет весны, 
Но хранят той весны тепло. 
Но хранят той весны тепло 
Наши детские сны. 

Детских снов чудесная страна 
Людям всем до старости нужна, 
Только жаль, что нам, когда взрослеем мы, 
Редко снятся те цветные сны. 

Сны где сказка живёт среди чудес 
Сны где можно достать 
Звезду с небес с небес 
Счастлив тот счастлив тот 
В ком детство есть 

Детство наше давно прошло, 
Прошлой жизни букварь прочло, 
Лето, осень, зима и нет весны, 
Но хранят той весны тепло, 
Но хранят той весны тепло 
Наши детские сны. 
 
Наши детские сны. 
Наши детские сны. 
Наши детские сны.";1;tsvetnye-sny-iz-kf-meri-poppins-do-svidanya.mp3;-;https://www.youtube.com/embed/TZWatePUSXU?ecver=1; С видео С текстом Женский голос Советские колыбельные Из фильмов 
https://xn----9sbmabsiicuddu3a5lep.xn--p1ai/media/oy-lyuli-lyuli-kolybel-naya-mehmedu;Ой, люли-люли (Колыбельная Мехмеду);Ой, люли-люли (Колыбельная Мехмеду) - Хюррем Султан (Мерьем Узерли) - Колыбельные-песни.рф;"Колыбельная Хюррем (из сериала ""Великолепный век"") - Ой, люли-люли (Колыбельная Мехмеду), Женский голос";Ой люлі, люлі,Налетіли гулі, налетіли гулі,Та й сіли на люлі.Стали думать і гадать,Чим дитятко годувать:Чи бублечком, чи медком,Чи солодким молочком…Ми бублечек вхопима й медочок влупима й кашки наварима й молочка спаримКолисочка рип-рипа дитинка спить спитьКолисочка пересталаа дитиночка й устала.;1;oy-lyuli-lyuli-kolybel-naya-mehmedu.mp3;-;-; С текстом Женский голос Другие животные Старые колыбельные Из фильмов Украинские колыбельные 
https://xn----9sbmabsiicuddu3a5lep.xn--p1ai/media/podborka-dlya-detey;Подборка для детей;Подборка для детей - Моцарт - Колыбельные-песни.рф;Подборка для детей, Старые колыбельные;Котик Дарья Дронова Пошёл котик во лесок, —Нашёл котик поясокЧем люлечку подцепитьДа Ванюшку положить,Ваня будет спать,Котик Ваню качать,А котик его качатьДа, серенький, величать,Сон да Дрёма,Усыпи моё дитя!Пошёл коток во Торжок,Купил себе пирожок.Идёт котик на лавочке,Ведёт киску за лапочку.Ходят вместе они —А ты, маленький, усни.;1;podborka-dlya-detej.mp3;-;-; С видео Только музыка Старые колыбельные Классическая музыка 
https://xn----9sbmabsiicuddu3a5lep.xn--p1ai/media/kolybel-naya-40-minut;Колыбельная 40 минут;Колыбельная 40 минут - Музыка для сна - Колыбельные-песни.рф;Колыбельная 40 минут, Современные колыбельные;Лаванды цвет Анастасия Мигова Лаванды цвет дили дили лиловый дымВ розовом сне дили дили станет твоим.В поле цветок дили дили тает душа,Простынь шелков дили нас укроет шурша.Лаванды цвет дили дили лиловый дымВ розовом сне дили дили станет твоим.Ночь на крыльце озарилась светом зарницФею в пыльце снова видит маленький принц.Лаванды цвет дили дили лиловый дымВ розовом сне дили дили станет твоим.Фея волшебная исполняет мечты,Станет реальностью что закажешь ей ты.;1;kolybelnaya-40-minut.mp3;-;-; Только музыка Современные колыбельные 
https://xn----9sbmabsiicuddu3a5lep.xn--p1ai/media/malyshka;Малышка;Вера Дворянинова - Малышка - Вера Дворянинова - Колыбельные-песни.рф;Вера Дворянинова - Малышка, Женский голос, Современные колыбельные, Вера Дворянинова, Для девочки, для дочери;Маленький Ангел-Хранитель твой Носиком сладко сопит в изголовье. Значит пора нам уснуть с тобой, День ожидая, завтрашний новый. Припев: Спи моя малышка, засыпай. Пусть тебе приснится сказка Баю-бай, малышка, баю-бай, Закрывай скорее глазки. Добрые сны прокрались в наш дом, И тяжело опустились ресницы. Будут все куклы мечтать о том, Чтобы тебе этой ночью присниться! Припев: Спи моя малышка, засыпай. Пусть тебе приснится сказка Баю-бай, малышка, баю-бай, Закрывай скорее глазки. Светит в окошко твоя звезда, Локон упрямый лег на подушку. Быстро малышка летят года, Детство твоё торопить не нужно. Припев: Спи моя малышка, засыпай. Пусть тебе приснится сказка Баю-бай, малышка, баю-бай, Закрывай скорее глазки. Сладкая будет однажды грусть- В сны прокрадется какой-то мальчишка! Я и заметить порой боюсь- Как подросла ты моя малышка!! Припев: Спи моя малышка, засыпай. Пусть тебе приснится сказка Баю-бай, малышка, баю-бай, Закрывай скорее глазки.;2;vera-dvoryaninova---malyshka.mp3;vera-dvoryaninova---malyshka_1.mp3.mp3;-; С текстом С минусовками Для девочки, для дочери Женский голос Современные колыбельные 
https://xn----9sbmabsiicuddu3a5lep.xn--p1ai/media/kolybel-naya-polchasa;Колыбельная полчаса;Колыбельная полчаса - Музыка без остановки - Колыбельные-песни.рф;Колыбельная полчаса, Колыбельные природы;-;1;kolybelnaya-polchasa.mp3;-;https://www.youtube.com/embed/eg-Uuq1Ohnw?ecver=1; С видео Только музыка Колыбельные природы 
https://xn----9sbmabsiicuddu3a5lep.xn--p1ai/media/spi-moia-radost-usni;Спи, моя радость, усни;Спи, моя радость, усни - Анастасия Мигова - Колыбельные-песни.рф;Спи, моя радость, усни, Анастасия Мигова;Лаванды цвет Анастасия Мигова Лаванды цвет дили дили лиловый дымВ розовом сне дили дили станет твоим.В поле цветок дили дили тает душа,Простынь шелков дили нас укроет шурша.Лаванды цвет дили дили лиловый дымВ розовом сне дили дили станет твоим.Ночь на крыльце озарилась светом зарницФею в пыльце снова видит маленький принц.Лаванды цвет дили дили лиловый дымВ розовом сне дили дили станет твоим.Фея волшебная исполняет мечты,Станет реальностью что закажешь ей ты.;1;spi-moia-radost-usni.mp3;-;-; Женский голос Современные колыбельные 
https://xn----9sbmabsiicuddu3a5lep.xn--p1ai/media/mamin-synochek;Мамин сыночек;Вера Дворянинова - Мамин сыночек - Вера Дворянинова - Колыбельные-песни.рф;Вера Дворянинова - Мамин сыночек, Женский голос, Современные колыбельные, Вера Дворянинова, Для мальчика, для сына;"На город заснеженный ночь опустилась,
И вдоль дороги зажгла фонари.
Зимнему городу лето приснилось,
Зимнему городу лето приснилось,
Скверик завьюженный спит до зари.
Сонные домики, в снежных постелях,
Смотрит к ним в окна большая луна.
Будут баюкать город метели,
Будут баюкать город метели.
Словно желая доброго сна.

Пойте нам песни метели,
Будьте спокойными ночи.
Мамина радость спит в колыбели,
Спит в колыбели мамин сыночек.

В городе детства дремлют машины,
Клоун веселый на время забыт.
Мамин защитник, мамин мужчина,
Мамин защитник, мамин мужчина,
Носиком сладко в подушку сопит.

В детской светлее от лунного света,
Был у солдатиков бой непростой,
А у лошадки белого цвета,
А у лошадки белого цвета
Кажется грива сейчас золотой.

Пойте нам песни метели,
Будьте спокойными ночи,
Мамина радость спит в колыбели,
Спит в колыбели мамин сыночек.";2;vera-dvoryaninova---mamin-synochek.mp3;vera-dvoryaninova---mamin-synochek_1.mp3.mp3;https://www.youtube.com/embed/XiSCRSoBevE?ecver=1; С видео С текстом С минусовками Для мальчика, для сына Женский голос Современные колыбельные 
https://xn----9sbmabsiicuddu3a5lep.xn--p1ai/media/oy-lyuli-lyuli;Ой, люли-люли;Ой, люли-люли - Кира - Колыбельные-песни.рф;Ой, люли-люли, Колыбельная люли-люли;Люли-люли-люленьки Русская народная колыбельная Люли, люли, люленьки, Летят сизы гуленьки. Летят гули вон, вон. Несут Ване сон, сон. Будут гули ворковать, Будет Ваня крепко спать. Будут гули говорить, Чем Ванюшу накормить. Полетят они в лесок И найдут там колосок, Станут кашку варить, Станут детку кормить, Белой кашкой с молочком И румяным пирожком.Люли, люли, люленьки, Летят сизы гуленьки. Летят гули вон, вон. Несут Ване сон, сон.;1;oj-lyuli-lyuli.mp3;-;-; Только голос Женский голос Другие животные Старые колыбельные Украинские колыбельные 
https://xn----9sbmabsiicuddu3a5lep.xn--p1ai/media/kotik-dronova;Котик;Котик - Дарья Дронова - Колыбельные-песни.рф;Котик, Русские народные колыбельныe, Про кота, Старые колыбельные, Женский голос, Для мальчика, для сына;Пошёл котик во лесок, —Нашёл котик поясокЧем люлечку подцепитьДа Ванюшку положить,Ваня будет спать,Котик Ваню качать,А котик его качатьДа, серенький, величать,Сон да Дрёма,Усыпи моё дитя!Пошёл коток во Торжок,Купил себе пирожок.Идёт котик на лавочке,Ведёт киску за лапочку.Ходят вместе они —А ты, маленький, усни.;1;kotik-dronova.mp3;-;-; Для мальчика, для сына Женский голос Про кота Старые колыбельные Русские народные колыбельные 
https://xn----9sbmabsiicuddu3a5lep.xn--p1ai/media/spi-druzhok;Спи, дружок;Спи, дружок - Валентина Рябкова - Колыбельные-песни.рф;Спи, дружок, Старые колыбельные;Баю-баю спи, дружок,Повернись на правый бок.Только ты один не спишь.Закрывай глаза, малыш.Лунный лучик - озорникСквозь окошечко проник,Примостился на подушке,Шепчет песенку на ушко.Баю-баю, баю-байИ у ночи будет крайА покуда детвораСпит в кроватках до утра.Спит корова, спит бычок,В огороде спит жучок,И котенок рядом с кошкойСпит за печкою в лукошке.На лужайке спит трава,На деревьях спит листва,Спит осока у реки,Спят сомы и окуньки.Баю-бай крадется дремаОн разносит сны по домуИ к тебе пришел, малыш -Ты уже так сладко спишь.;1;spi-druzhok.mp3;-;-; С текстом Для мальчика, для сына Только голос Женский голос Старые колыбельные Русские народные колыбельные 
https://xn----9sbmabsiicuddu3a5lep.xn--p1ai/media/kazach-ya-kolybel-naya;Казачья колыбельная;Наталья Фаустова - Казачья колыбельная - Наталья Фаустова - Колыбельные-песни.рф;Наталья Фаустова - Казачья колыбельная, Женский голос, Старые колыбельные, Казачья колыбельная, На гитаре, Наталья Фаустова, Для мальчика, для сына;"Слова Михаила ЛермонтоваСпи, младенец мой прекрасный, Баюшки-баю. Тихо смотрит месяц ясный В колыбель твою. Стану сказывать я сказки, Песенку спою; Ты ж дремли, закрывши глазки, Баюшки-баю. По камням струится Терек, Плещет мутный вал; Злой чечен ползет на берег, Точит свой кинжал; Но отец твой старый воин, Закален в бою; Спи, малютка, будь спокоен, Баюшки-баю.Сам узнаешь, будет время, Бранное житье; Смело вденешь ногу в стремя И возьмешь ружье. Я седельце боевое Шелком разошью... Спи, дитя мое родное, Баюшки-баю. Богатырь ты будешь с виду И казак душой. Провожать тебя я выйду — Ты махнешь рукой... Сколько горьких слез украдкой Я в ту ночь пролью!.. Спи, мой ангел, тихо, сладко, Баюшки-баю. Стану я тоской томиться, Безутешно ждать; Стану целый день молиться, По ночам гадать; Стану думать, что скучаешь Ты в чужом краю... Спи ж, пока забот не знаешь, Баюшки-баю. Дам тебе я на дорогу Образок святой: Ты его, моляся богу, Ставь перед собой; Да готовясь в бой опасный, Помни мать свою... Спи, младенец мой прекрасный, Баюшки-баю. 1837-1838";1;natalya-faustova---kazachya-kolybelnaya.mp3;-;https://www.youtube.com/embed/cJsTB-yB-uk?ecver=1; С видео С текстом Для мальчика, для сына Женский голос На гитаре Старые колыбельные Православные колыбельные 
https://xn----9sbmabsiicuddu3a5lep.xn--p1ai/media/kolybel-naya-bayu-bayushki-bayu;Колыбельная (Баю-баюшки баю);Колыбельная (Баю-баюшки баю) - Маша и Медведь - Колыбельные-песни.рф;Маша и Медведь - Колыбельная (Баю-баюшки баю), Женский голос;Баю-баюшки-баю, не ложися на краю:Придёт серенький волчок и ухватит за бочок,Раз-два-три-четыре-пять — и потянет танцевать!Баю-баю, бай-бай-бай,Громче музыка играй!Баю-шуби-дуби-бай,Двигай телом не зевай!Баю-баюшки-баю, все танцуют и поют.Баю-баю, скок-поскок, скачет серенький волчок,Скачут овцы на траве, скачут мысли в голове.Баю-баю, бай-бай-бай,Громче музыка играй!Баю-шуби-дуби-бай,Двигай телом не зевай!Баю-баю-баюшки, не ложись на краешке.Всё смешалось в хоровод, и сегодня не уснётНи большой, ни маленький — баю-баю-баиньки!Баю-баю, бай-бай-бай,Громче музыка играй!Баю-шуби-дуби-бай,Двигай телом не зевай!;1;kolybelnaya-bayu-bayushki-bayu.mp3;-;https://www.youtube.com/embed/Rer9g8kd4IY?ecver=1; С видео С текстом Женский голос Современные колыбельные Из мультфильмов 
https://xn----9sbmabsiicuddu3a5lep.xn--p1ai/media/bayu-bayushki-bayu-prileti-ptichka-s-lesku;Баю-баюшки-баю, прилети птичка с леску;Баю-баюшки-баю, прилети птичка с леску - Юлия Чернышова - Колыбельные-песни.рф;Баю-баюшки-баю, прилети птичка с леску, Баю-баюшки-баю;Баю-баюшки-баю,Прилети, птичка, с леску,Прилети, птичка, с леску,Принеси тебе сонку,Принеси тебе сонкуСо всего тёмна леску,Со всего тёмна леску,На всю тёмну ноченьку,На всю тёмну ноченькуТебе светлой денёк.Уж ты спи-ка камешком,Встанешь лёгким пёрышком.Бай-бай-бай-бай.Бай-бай-бай-бай.Сон да ДремотаПо новым сеням брела,По новым сеням брелаДа и к дочке забрела,Да и к дочке забрела,Где у дочки колыбельВо высоком терему,В шитом браном пологу.Дочка вырастет большая,Будет грамоте учить.Будем грамоте учить,Будешь золото носить,Будешь золото носить,Будешь в серебре ходить.Будешь в серебре ходить -Будешь нянечек дарить.Бай-бай-бай-бай.Бай-бай-бай-бай.Баю-баю-баюшки,Баю доченьку мою,Баю доченьку мою,Баю миленькую.Приди, котик, ночевать,Мою доченьку качать,Мою доченьку качать,Качать, прибаукивать.Как у котика-котаКолыбелька хороша,У моей у доченькиЧто получше его.Как у котика-котаИ перинушка мягка,У моей у доченькиВот пуховая лежит.Как у котика-котаИзголовье высоко,У моей у доченькиЧто повыше его.У кота, у котикаОдеяльце тёплое,У моей у доченькиСоболиное лежит.Баю-баюшки-баю,Баю доченьку мою.Бай-бай-бай-бай.Бай-бай-бай-бай,Ты, собачка, не лай,Мою детку не буди.Ой, качи-качи-качи,В головах-то калачи,В головах-то калачи,В ручках прянички,В ручках прянички,В ножках яблочки,По бокам конфеточки,Золотые веточки,Бай-бай-бай-бай.;1;bayu-bayushki-bayu-prileti-ptichka-s-lesku.mp3;-;-; С текстом Только голос Женский голос Старые колыбельные Русские народные колыбельные 
URL;Название;Полное название;Описание;Текст песни;Количество файлов;Файлы аудио;Файлы минусовок;Видео;Категории
https://xn----9sbmabsiicuddu3a5lep.xn--p1ai/media/volshebnye-kolokol-chiki-kolybel-naya-1-chas;Волшебные колокольчики: колыбельная 1 час;Волшебные колокольчики: колыбельная 1 час - Долгая колыбельная - Колыбельные-песни.рф;Волшебные колокольчики: колыбельная 1 час, Только музыка;-;1;volshebnye-kolokolchiki-kolybelnaya-1-chas.mp3;-;-; Только музыка Современные колыбельные 
https://xn----9sbmabsiicuddu3a5lep.xn--p1ai/media/kolybel-naya-dlya-dochki;Колыбельная для дочки;Вера Дворянинова - Колыбельная для дочки - Вера Дворянинова - Колыбельные-песни.рф;Вера Дворянинова - Колыбельная для дочки, Женский голос, Современные колыбельные, Вера Дворянинова, Для девочки, для дочери, Про зайку;"Вера Дворянинова - Колыбельная для дочки (минус) Вера Дворянинова - Колыбельная для дочки (минус)  0:39   0      
						Вера Дворянинова - Колыбельная для дочки (минус)
					     0:00";2;vera-dvoryaninova---kolybelnaya-dlya-dochki.mp3;vera-dvoryaninova---kolybelnaya-dlya-dochki_1.mp3.mp3;-; С минусовками Для девочки, для дочери Женский голос Про зайку Современные колыбельные 
https://xn----9sbmabsiicuddu3a5lep.xn--p1ai/media/bayu-bayushki-bayu;Баю-баюшки-баю;"Баю-баюшки-баю - Из к/ф ""Варвара-краса, длинная коса"" - Колыбельные-песни.рф";"Баю-баюшки-баю - из к/ф ""Варвара-краса, длинная коса"", Женский голос";Котик Дарья Дронова Пошёл котик во лесок, —Нашёл котик поясокЧем люлечку подцепитьДа Ванюшку положить,Ваня будет спать,Котик Ваню качать,А котик его качатьДа, серенький, величать,Сон да Дрёма,Усыпи моё дитя!Пошёл коток во Торжок,Купил себе пирожок.Идёт котик на лавочке,Ведёт киску за лапочку.Ходят вместе они —А ты, маленький, усни.;1;bayu-bayushki-bau.mp3;-;-; Женский голос Старые колыбельные Из мультфильмов Русские народные колыбельные 
